shop_id,shop_name,avg_stars,avg_price,address,telephone,all_comments_count,5_star_comments_count,4_star_comments_count,3_star_comments_count,2_star_comments_count,1_star_comments_count
"2517958
",京味斋(望京店),5.0,67,南湖南路15号院5号楼1-3层(南湖综合市场向南70米),010-84771511,4338,3323,625,239,54,60
"24994231
",云端烘焙,5.0,99,望京广顺北大街星源国际B座1306,13121400440,208,183,23,1,0,1
"32550773
",WINETAIL,5.0,91,阜通西大街合生麒麟新天地商业街10号楼底商10-11号(雕刻时光旁),18310549439,132,117,10,2,0,3
"19477152
",平安道(望京店),5.0,128,望京花家地30号楼(北京中医药大学对面),010-64776766,884,558,220,70,18,18
"65715707
",魔人餐厅,5.0,69,望京望馨商业中心三层(原海鲜大卖场),010-58459038,85,63,18,2,2,0
"22701562
",HI辣火锅(望京店),5.0,117,利泽西园314号楼底商,010-64711148,5483,4916,388,103,30,46
"2114893
",海底捞火锅(望京店),5.0,111,望京街9号望京国际商业中心E座4层,010-59203512,4057,1697,1028,184,24,21
"22205369
",汤城小厨(望京凯德MALL店),5.0,86,广顺北大街33号 望京凯德MALL6层,010-64738902,3041,2380,501,102,23,35
"22695432
",星怡会(望京店),5.0,96,广顺北大街33号 凯德MALL购物中心6层,010-64738979,3620,2421,896,209,39,55
"2634493
",火炉火(望京凯德MALL店),4.5,79,广顺北大街33号凯德MALL购物中心5层,010-84729326,8495,4202,2571,902,204,272
"3370009
",四季民福烤鸭店(望京南湖东园店),5.0,105,南湖北路南湖东园二区224号楼(近湖光中街),010-64733858,1970,1214,545,143,31,34
"11571878
",pakpak喜悦泰(望京店),5.0,118,望京街望京利星行广场奔驰展厅裙楼2楼(望京奔驰大厦二层，近阜通东大街),010-84760166,3160,2076,844,154,45,41
"18146116
",南京大牌档(望京凯德店),4.5,63,广顺北大街33号凯德MALL四层,4001877177,4462,2541,1337,412,87,85
"3215671
",ebeecake蛋糕(小蜜蜂蛋糕),4.5,107,望京酒仙桥798艺术区797路工美楼,4006106798,3412,1965,1002,282,44,64
"58518489
",寂寞的豆芽(望京店),5.0,67,望京国际商业中心A座a-1-15,13661111517,564,435,77,26,10,16
"67507511
",海银海记潮汕牛肉火锅(望京店),5.0,90,花家地街花家地北里潭州酒楼旁,010-64720699,72,56,9,5,1,1
"17185557
",黑牛时代(广顺北大街店),5.0,78,广顺北大街望京西园四区423号楼(韩式美食城2楼),010-84294370,6327,3890,1662,569,111,95
"57698567
",汪星客萌犬主题餐吧,5.0,77,望京街道阜安东路悠乐汇A1区201B,010-57113752,120,95,22,3,0,0
"22807946
",天使之门韩式餐吧,5.0,99,广顺南大街望京悠乐汇A座507-1,010-84787081,496,401,74,17,1,3
"8829378
",张师傅参鸡汤(鲜有基港旅三店),5.0,87,湖光中街甲6号港旅大厦1层(近南湖南路北口),010-64716686,7159,4812,1768,468,59,52
"6179634
",海底捞火锅(望京港旅店),5.0,106,湖光中街甲六号望京港旅大厦二层,010-64709181,851,621,164,45,10,11
"4657406
",宴稼厨房(方恒店),5.0,107,阜通东大街6号院4号楼 方恒购物中心4层(奔驰大厦、望京soho、卡特彼勒、京密路大山子路口),010-84783466,2407,1406,702,219,36,44
"59008175
",川骄海鲜自助(望京店),4.5,180,望京街道望京街望京国际商业中心C座3层,010-57106333,530,330,128,45,10,17
"24337240
",望京小腰(老店-悠乐汇店),4.5,78,望京广顺南大街望京园悠乐汇610楼108号(粒粒堡亲子餐厅南侧),15510583759,1263,871,202,102,28,60
"58394253
",MooMoo澳洲牛排店(新荟城店),5.0,80,望京街道新荟城3层5A,010-56049551,240,177,48,12,2,1
"19343863
",伙计厨房(望京店),5.0,93,望京商业中心E座(海底捞、星美影城),010-53396657,803,524,209,51,8,11
"13709617
",庭院,4.5,72,望京博泰国际中心3层(湖光北街街，广顺北大街),010-64725949,733,402,221,82,16,12
"18630572
",喜来稀肉,5.0,89,湖光中街南湖中园南门(南湖中园南门公交站正对面，桔子酒店斜对面),010-64781101,2271,1443,584,170,39,35
"14889155
",YUMMY BOX PIZZA美盒披萨(望京店),4.5,112,阜安西路11号合生·麒麟社新天地-AF105室(近望京SOHO奔驰大厦微软大厦物美超市),010-57389034,2819,1392,932,318,80,97
"57795194
",四有青年米粉•面(望京店),5.0,32,望京东园七区保利好食界8-28号(浦项中心南侧),010-84770822,243,197,31,8,2,5
"2589790
",张师傅参鸡汤(鲜有基一店),5.0,89,阜通西大街望京西园四区412号楼,010-64745062,4882,3007,1348,407,66,45
shop_id,shop_name,avg_stars,avg_price,address,telephone,all_comments_count,5_star_comments_count,4_star_comments_count,3_star_comments_count,2_star_comments_count,1_star_comments_count
shop_id,shop_name,avg_stars,avg_price,address,telephone,all_comments_count,5_star_comments_count,4_star_comments_count,3_star_comments_count,2_star_comments_count,1_star_comments_count
